"T�tulo","todas-fronteras-fisicos_01-2021_12-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sistema el�ctrico","NACIONAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magnitudes","MWh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" fecha","ene/21","ene/21","ene/21","feb/21","feb/21","feb/21","mar/21","mar/21","mar/21","abr/21","abr/21","abr/21","may/21","may/21","may/21","jun/21","jun/21","jun/21","jul/21","jul/21","jul/21","ago/21","ago/21","ago/21","sep/21","sep/21","sep/21","oct/21","oct/21","oct/21","nov/21","nov/21","nov/21","dic/21","dic/21","dic/21","ene/22","ene/22","ene/22","feb/22","feb/22","feb/22","mar/22","mar/22","mar/22","abr/22","abr/22","abr/22","may/22","may/22","may/22","jun/22","jun/22","jun/22","jul/22","jul/22","jul/22","ago/22","ago/22","ago/22","sep/22","sep/22","sep/22","oct/22","oct/22","oct/22","nov/22","nov/22","nov/22","dic/22","dic/22","dic/22"
" tipo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo","Exportaci�n","Importaci�n","Saldo"
"Francia","-674974.59","1156842.76","481868.17",-1192247836,207618401,-984629435,"-721057.65",888618361,167560711,-530479416,944485389,414005973,-316197735,1357761768,1041564033,-111017136,1431253214,1320236078,-147435842,1413910008,1266474166,-14672153,1765279857,1750607704,-78395839,1272570835,1194174996,-139738291,909267163,769528872,-1093752019,281955916,-811796103,-1260796706,301687444,-959109262,-946987765,"519849.37",-427138395,-228847143,1212906506,984059363,-867799589,597965556,-269834033,-1057781223,274867163,"-782914.06",-843675122,464715035,-378960087,-619059595,356122823,-262936772,-1106956595,143167408,-963789187,-1484153892,32217664,-1451936228,-1763229343,10928913,"-1752300.43",-1236969701,359522011,"-877447.69",-1442401586,257408635,-1184992951,-1781757198,319330279,-1462426919
"Portugal",-815575316,531557703,-284017613,-257553748,1116689035,859135287,"-579377.95",587906778,8528828,-674735113,491793176,-182941937,-1048174096,217391556,"-830782.54",-653819047,329293489,-324525558,-781152453,223331866,-557820587,-1150742401,"125441.05",-1025301351,-880459228,187778296,-692680932,-1082412677,201874425,-880538252,-804355815,335836845,"-468518.97",-815132698,442879931,-372252767,-1025536349,254061541,-771474808,-1434858483,61858766,-1372999717,-900282332,298920785,-601361547,"-1008267.5","243435.59","-764831.91",-1087302663,195765813,"-891536.85",-1079413009,105237496,-974175513,"-1353896.84",70116504,-1283780336,-1122140969,87926377,-1034214592,-1020317983,159139374,-861178609,-1148481105,227979504,-920501601,-731105327,416536865,-314568462,-403595915,938641159,535045244
"Marruecos","-17648.96","73124.15","55475.19","-34665.1","25967.5","-8697.6","-23906.65","60564.56","36657.91","-25800.74","63415.64","37614.9","-23478.6","81748.6",58270,"-34081.9","57120.9",23039,"-91591.2","52956.3","-38634.9","-78431.1","33166.5","-45264.6","-72191.83","27001.33","-45190.5","-12658.52","71666.45","59007.93","-53171.7","51173.2","-1998.5","-41766.3","90280.8","48514.5","-44899.1","102018.3","57119.2","-84226.3","40058.3",-44168,"-39914.1","61936.8","22022.7","-70424.9","47837.1","-22587.8","-100428.2","62441.1","-37987.1","-220242.7","15164.8","-205077.9","-173406.4","20543.6","-152862.8","-297822.4","6224.5","-291597.9","-252509.7",9105,"-243404.7","-253449.46","6271.6","-247177.86","-134560.97","20401.94","-114159.03","-180855.3","30888.2","-149967.1"
"Andorra","-38418.84","-","-38418.84","-28394.06","-","-28394.06","-22893.94","0.89","-22893.05","-12110.35","0.97","-12109.38","-0.01","-","-0.01","-5128.01","1.56","-5126.45","-3552.41","1.8","-3550.61","-19021.46","1.94","-19019.52","-11132.83","2.17","-11130.66","-15197.47","2.83","-15194.64","-28632.03","-","-28632.03","-40653.68","-","-40653.68","-38483.77","-","-38483.77","-34804.01","1.02","-34802.99","-31125.18","0.03","-31125.15","-16537.78","2.28","-16535.5","-5358.29","4.12","-5354.17","-16539.32","-","-16539.32","-22255.68","-","-22255.68","-20354.75","-","-20354.75","-19778.97","-","-19778.97",-20359,"-",-20359,"-20176.05","0.4","-20175.65","-39880.17","-","-39880.17"
"Total",-1546617706,1761524613,214906907,-1512860744,1350274936,-162585808,"-1347236.19",1537090589,189854399,-1243125619,1499695175,256569556,-1387850441,1656901924,269051483,-804046093,1817669163,"1013623.07",-1023731905,1690199974,666468069,-1262867114,1923889347,661022233,-1042179727,1487352631,445172904,-1250006958,1182810868,"-67196.09",-1979911564,668965961,-1310945603,-2158349384,834848175,-1323501209,-2055906984,875929211,-1179977773,-1782735936,1314824592,-467911344,-1839121201,958823171,"-880298.03",-2153011403,566142133,"-1586869.27",-2036764275,722926068,-1313838207,-1935254624,476525119,-1458729505,-2656515515,233827512,-2422688003,-2924472011,126368541,"-2798103.47",-3055835996,179173287,-2876662709,-2659259266,593773115,-2065486151,-2328243933,"694347.84",-1633896093,-2406088583,1288859638,-1117228945
" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
